year,month,fx_rub_usd,inflation_yoy_pct,key_rate_pct
2014,1,33.7844,6.07,5.50
2014,2,35.2440,6.21,5.50
2014,3,36.1986,6.92,7.00
2014,4,35.6677,7.33,7.50
2014,5,34.8337,7.59,7.50
2014,6,34.4495,7.81,7.50
2014,7,34.6354,7.45,8.00
2014,8,36.0984,7.55,8.00
2014,9,37.9018,8.03,8.00
2014,10,40.7987,8.29,8.00
2014,11,46.2175,9.06,9.50
2014,12,55.7704,11.35,17.00
2015,1,65.1531,14.96,17.00
2015,2,64.5182,16.70,15.00
2015,3,60.3631,16.90,14.00
2015,4,53.2187,16.40,14.00
2015,5,50.4680,15.80,12.50
2015,6,54.4490,15.30,11.50
2015,7,57.1797,15.60,11.50
2015,8,65.4230,15.80,11.00
2015,9,66.7829,15.70,11.00
2015,10,63.2456,15.60,11.00
2015,11,65.0296,15.00,11.00
2015,12,69.7048,12.90,11.00
2016,1,77.9344,9.80,11.00
2016,2,77.3285,8.10,11.00
2016,3,70.4183,7.30,11.00
2016,4,66.6826,7.30,11.00
2016,5,65.8387,7.30,11.00
2016,6,65.2193,7.50,10.50
2016,7,64.3380,7.20,10.50
2016,8,64.9365,6.90,10.50
2016,9,64.5572,6.40,10.00
2016,10,62.6200,6.10,10.00
2016,11,64.3137,5.80,10.00
2016,12,62.0913,5.40,10.00
2017,1,59.6299,5.00,10.00
2017,2,58.5394,4.60,10.00
2017,3,58.0066,4.30,9.75
2017,4,56.4356,4.10,9.75
2017,5,56.9501,4.10,9.25
2017,6,57.8932,4.40,9.00
2017,7,59.6927,3.90,9.00
2017,8,59.6127,3.30,9.00
2017,9,57.7447,3.00,8.50
2017,10,57.6981,2.70,8.25
2017,11,58.9266,2.50,8.25
2017,12,58.5739,2.50,7.75
2018,1,56.4981,2.20,7.75
2018,2,56.8067,2.20,7.50
2018,3,57.0636,2.40,7.25
2018,4,60.7699,2.40,7.25
2018,5,62.2309,2.40,7.25
2018,6,62.7685,2.30,7.25
2018,7,62.8619,2.50,7.25
2018,8,66.0764,3.10,7.25
2018,9,67.6661,3.40,7.50
2018,10,65.8545,3.50,7.50
2018,11,66.3557,3.80,7.50
2018,12,67.3353,4.30,7.75
2019,1,66.5125,5.00,7.75
2019,2,65.8105,5.20,7.75
2019,3,65.0923,5.30,7.75
2019,4,64.6031,5.20,7.75
2019,5,64.8187,5.10,7.75
2019,6,64.1690,4.70,7.50
2019,7,63.2227,4.60,7.25
2019,8,65.5875,4.30,7.25
2019,9,64.9587,4.00,7.00
2019,10,64.3750,3.80,6.50
2019,11,63.8671,3.50,6.50
2019,12,62.9325,3.00,6.25
2020,1,61.8121,2.40,6.25
2020,2,63.9798,2.30,6.00
2020,3,73.7194,2.50,6.00
2020,4,74.7635,3.10,5.50
2020,5,72.5003,3.00,5.50
2020,6,69.1967,3.20,4.50
2020,7,71.2941,3.40,4.25
2020,8,73.7981,3.60,4.25
2020,9,75.7280,3.70,4.25
2020,10,77.6635,4.00,4.25
2020,11,76.8395,4.40,4.25
2020,12,74.2167,4.90,4.25
2021,1,74.3925,5.20,4.25
2021,2,74.3168,5.70,4.25
2021,3,74.3971,5.80,4.50
2021,4,76.1439,5.50,5.00
2021,5,74.0043,6.00,5.00
2021,6,72.6169,6.50,5.50
2021,7,73.8899,6.50,6.50
2021,8,73.5827,6.68,6.50
2021,9,72.9262,7.40,6.75
2021,10,71.4501,8.13,7.50
2021,11,72.6989,8.40,7.50
2021,12,73.7693,8.39,8.50
2022,1,76.5947,8.73,8.50
2022,2,77.1694,9.15,20.00
2022,3,103.4700,16.69,20.00
2022,4,77.8992,17.83,17.00
2022,5,63.3127,17.10,11.00
2022,6,57.1786,15.90,9.50
2022,7,58.2214,15.10,8.00
2022,8,60.3919,14.30,8.00
2022,9,59.8215,13.68,7.50
2022,10,61.1158,12.63,7.50
2022,11,60.8530,11.98,7.50
2022,12,65.8150,11.94,7.50
2023,1,68.8760,11.77,7.50
2023,2,72.7827,10.99,7.50
2023,3,76.1036,3.51,7.50
2023,4,80.9955,2.31,7.50
2023,5,79.2126,2.51,7.50
2023,6,83.3193,3.25,7.50
2023,7,90.4740,4.30,8.50
2023,8,95.2853,5.15,12.00
2023,9,96.6223,6.00,13.00
2023,10,97.1223,6.69,15.00
2023,11,90.4128,7.48,15.00
2023,12,90.8172,7.42,16.00
